snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
Wildcard File Read,wildcard|glob|*.json|*.csv|*.parquet,python,SPRKCNTPY1000,ConversionError,"Wildcard/glob pattern in file read path is not supported for Snowpark Connect — replace with explicit file list",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Unsupported Save Mode,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Unsupported Option,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
No-Op API,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
No-Op Config,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
UDF Serialization,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Performance Optimization,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Recommended Improvement,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Generic,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect TODO,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Performance,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Fix,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
RDD,,scala,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Unsupported Module,spark.ml|org.apache.spark.ml,scala,SPRKCNTSCL2500,ConversionError,"The element '{element}' of the library ML is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2500
Unsupported Module,spark.streaming|org.apache.spark.streaming|DStream,scala,SPRKCNTSCL2000,ConversionError,"The element '{element}' of the library Streaming is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2000
Unsupported Module,spark.mllib|org.apache.spark.mllib,scala,SPRKCNTSCL3000,ConversionError,"The element '{element}' of the library MLLIB is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3000
Unsupported Module,graphx|org.apache.spark.graphx,scala,SPRKCNTSCL3000,ConversionError,"The element '{element}' of the library GraphX is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3000
SparkSession,SparkSession|getOrCreate|session.builder,scala,SPRKCNTSCL3500,ConversionError,"The element '{element}' of the library SparkSession is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3500
SparkContext,SparkContext|sparkContext,scala,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library SparkContext/RDD is not supported by Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Unsupported Format,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Save Mode,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Option,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op API,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op Config,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
UDF Serialization,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Performance Optimization,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Recommended Improvement,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Generic,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Snowpark Connect TODO,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Snowpark Connect Performance,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Snowpark Connect Fix,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
